!------------------------------------------------------  !
! List of Simulations 				 	 !
! Label, wavelength, amplitude , width, height of inflow !
!------------------------------------------------------- !
EVZ4,2400,20,200,12.0
EVZ7,2400,20,200,21.0
EVZ0,2400,20,200,27.0
EWX1,2400,9,300,6.0
EWX4,2400,9,300,18.0
EWX7,2400,9,300,30.0
EWX0,2400,9,300,39.0
EWY1,2400,15,300,6.0
EWY4,2400,15,300,18.0
EWY7,2400,15,300,30.0
EWY0,2400,15,300,39.0
EWZ1,2400,20,300,6.0
EWZ4,2400,20,300,18.0
EWZ7,2400,20,300,30.0
EWZ0,2400,20,300,39.0
