!------------------------------------------------------------!
  Date: 20191117
  Simulation name: SW4  
  Filename:average_dense.txt                                                                                                                                     
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                                              
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1        800.0000000000         10.0000000000          0.0000000000          0.0000000000         10.0000000000      39000.0000000000
  2        785.2823846160         26.1349502032         -2.8694600874          0.0311909751         26.1460353056        456.4686619829
  3        791.8624742354         32.4102364665         -6.1248390951          0.0263522098         32.4131422500        486.4500112992
  4        792.5983921887         35.4273176778         -7.0328835878         -0.1268700158         35.4275852622        637.9383634552
  5        794.0117794391         36.8850241415         -7.3440812255         -0.1595187270         36.8839341626        607.5441766455
  6        795.4726585130         39.3953520751         -7.8201796074         -0.2287217728         39.3966928091        547.6370683606
  7        795.9763658217         41.5900015929         -8.3194418523         -0.3050212192         41.5914982119        466.5097166292
  8        796.4108726956         40.9864626597         -6.5285602639         -0.3720665012         41.0059161401        381.1985746426
