!------------------------------------------------------------!
  Date: 20191112
  Simulation name: AWX7 
  Filename:average_medium.txt                                                                                                                                    
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                                              
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1      800.000000000000       10.000000000000        0.000000000000        0.000000000000       10.000000000000    39000.000000000000
  2      788.233874176200       28.424754863517       -3.616220712273        0.831362211376       28.504007281499      461.727961051500
  3      790.511025893095       34.128153287087       -6.374321912258       -0.894987638568       34.136982445279      592.493271398096
  4      790.587585183641       33.945353466651       -6.086202170856       -0.786501136781       33.947464259114      580.534190525392
  5      791.262329132782       31.037738406059       -5.872446496419       -1.370732944633       31.036604193071      400.772552556300
  6      791.790391195958       30.118018167727       -5.393950788941       -0.870393311939       30.116822676146      311.998443864998
  7      791.838606424223       31.258789637453       -5.899174430838       -0.916867063878       31.257645028594      244.446527364741
  8      790.591317141071       24.992763584300       -0.305765113005       -1.263875185286       25.005395160273      171.807096655247
