!------------------------------------------------------------!
  Date: 20190910
  Simulation name: AV4 
  Filename:average_all.txt                                                                                                         
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                               
  Written by AK September 2019
  Description: Average of all timesteps                                                                                               
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                 
!------------------------------------------------------------!
  1        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000
  1                   NaN                   NaN                   NaN                   NaN                   NaN                   NaN
  2      571.326847912997       14.441671901895       14.441671901895       -0.742050548980       14.742444253554     1404.708382264824
  3      539.480664368272       14.475154533978       14.475154533978       -0.397978682014       14.568990230357     1250.420485700927
  4      504.702639363023       12.810986438422       12.810986438422       -1.314564197424       12.867731611560      946.857954755557
  5      477.841026340537        9.288662874294        9.288662874294       -0.206659274154        9.322509402240      676.161603375845
  6      458.495304334344        7.295586855677        7.295586855677        0.320944733520        7.336004489177      569.102601062406
  7      444.742754405024        7.254499808659        7.254499808659        0.354514510948        7.284032696925      489.489363641810
  8      426.288040191854        6.292345863674        6.292345863674        0.727747251941        6.308473579970      424.233736318855
