!------------------------------------------------------------!
  Date: 20191120
  Simulation name: BWX4 
  Filename:average_all.txt                                                                                                                                       
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description: Average of all timesteps                                                                                                                             
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1        800.0000000000         10.0000000000          0.0000000000          0.0000000000         10.0000000000      39000.0000000000
  2        562.0555667939         16.3482143715         16.3482143715         -0.8390324829         16.6409385464       2347.9710891447
  3        536.0241074247         19.2016957978         19.2016957978         -2.7481834972         19.3305506700       2596.1386769377
  4        505.3936346593         19.1581784393         19.1581784393         -1.8947935915         19.2111735450       2136.6589084650
  5        483.1004017578         15.5768064407         15.5768064407         -1.4954185934         15.6323226936       1739.7857548883
  6        459.0471773720         12.4654047743         12.4654047743         -0.5189425665         12.5217977611       1411.8378911452
  7        432.9774277700         11.1285686774         11.1285686774         -0.2347649980         11.1618511002       1214.1699952539
  8        419.4749494533          8.2215551521          8.2215551521          1.5370024674          8.2524560626       1157.6541931149
