!------------------------------------------------------------!
  Date: 20191112
  Simulation name: BVX4 
  Filename:average_all.txt                                                                                                                                       
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description: Average of all timesteps                                                                                                                             
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1      800.000000000000       10.000000000000        0.000000000000        0.000000000000       10.000000000000    39000.000000000000
  2      574.132722360431       15.484020755471       15.484020755471       -0.787929251194       15.734534747719     1745.439929430092
  3      547.034866015004       18.573207731675       18.573207731675       -2.680414578357       18.671248060684     1832.136651438674
  4      507.964843291806       16.821907312574       16.821907312574       -1.103218249132       16.880537923975     1498.983588932176
  5      481.699840320083       13.053077204236       13.053077204236       -1.576508081521       13.102360980133     1195.081079651059
  6      457.661851792016       10.414491276697       10.414491276697       -0.590279496931       10.457687908641     1058.692455909153
  7      446.635844139272        9.996551500119        9.996551500119       -0.335481285716       10.028794783097      851.950869057505
  8      439.765041216734        9.131671181447        9.131671181447       -0.334206632295        9.153708361236      686.824635900623
