!------------------------------------------------------------!
  Date: 20191113
  Simulation name: BWX7 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1   51.0000000000000     
           2           2   57.0000000000000     
           2           3   60.0000000000000     
           2           4   36.0000000000000     
           2           5   69.0000000000000     
           2           6   72.0000000000000     
           2           7   78.0000000000000     
           2           8   81.0000000000000     
           2           9   84.0000000000000     
           2          10   93.0000000000000     
           2          11   96.0000000000000     
           2          12   105.000000000000     
           2          13   111.000000000000     
           2          14   108.000000000000     
           2          15   168.000000000000     
           2          16   171.000000000000     
           2          17   108.000000000000     
           2          18   114.000000000000     
           2          19   114.000000000000     
           2          20   111.000000000000     
           2          21   111.000000000000     
           2          22   111.000000000000     
           2          23   150.000000000000     
           2          24   117.000000000000     
           2          25   117.000000000000     
           2          26   111.000000000000     
           2          27   111.000000000000     
           2          28   111.000000000000     
           2          29   147.000000000000     
           2          30   144.000000000000     
           2          31   147.000000000000     
           2          32   147.000000000000     
           2          33   150.000000000000     
           2          34   150.000000000000     
           2          35   150.000000000000     
           2          36   150.000000000000     
           2          37   147.000000000000     
           2          38   150.000000000000     
           2          39   150.000000000000     
           2          40   147.000000000000     
           2          41   147.000000000000     
           2          42   147.000000000000     
           2          43   150.000000000000     
           2          44   150.000000000000     
           2          45  0.000000000000000E+000
           2          46   150.000000000000     
           2          47   150.000000000000     
           2          48   150.000000000000     
           2          49   150.000000000000     
           2          50   150.000000000000     
           2          51   147.000000000000     
           2          52   147.000000000000     
           2          53   147.000000000000     
           2          54   147.000000000000     
           2          55   147.000000000000     
           2          56   147.000000000000     
           2          57   150.000000000000     
           2          58   147.000000000000     
           2          59   150.000000000000     
           2          60   147.000000000000     
           2          61   150.000000000000     
           2          62   147.000000000000     
           2          63   147.000000000000     
           2          64   150.000000000000     
           2          65   150.000000000000     
           2          66   150.000000000000     
           2          67   147.000000000000     
           2          68   147.000000000000     
           2          69   147.000000000000     
           2          70   147.000000000000     
           2          71   150.000000000000     
           2          72   147.000000000000     
           2          73   87.0000000000000     
           2          74   99.0000000000000     
           2          75   147.000000000000     
           2          76   147.000000000000     
           2          77   147.000000000000     
           2          78   150.000000000000     
           2          79   147.000000000000     
           2          80   144.000000000000     
           2          81   81.0000000000000     
           2          82   144.000000000000     
           2          83   78.0000000000000     
           2          84   129.000000000000     
           2          85   75.0000000000000     
           2          86   78.0000000000000     
           2          87   105.000000000000     
           2          88   93.0000000000000     
           2          89   135.000000000000     
           2          90   135.000000000000     
           2          91   135.000000000000     
           2          92   135.000000000000     
           2          93   132.000000000000     
           2          94   129.000000000000     
           2          95   123.000000000000     
           2          96   126.000000000000     
           2          97   96.0000000000000     
           2          98   123.000000000000     
           2          99   123.000000000000     
           2         100   108.000000000000     
           2         101   93.0000000000000     
           3           1   288.000000000000     
           3           2   339.000000000000     
           3           3   336.000000000000     
           3           4   336.000000000000     
           3           5   336.000000000000     
           3           6   339.000000000000     
           3           7   339.000000000000     
           3           8   339.000000000000     
           3           9   339.000000000000     
           3          10   345.000000000000     
           3          11   354.000000000000     
           3          12   357.000000000000     
           3          13   315.000000000000     
           3          14   333.000000000000     
           3          15   357.000000000000     
           3          16   309.000000000000     
           3          17   318.000000000000     
           3          18   348.000000000000     
           3          19   336.000000000000     
           3          20   306.000000000000     
           3          21   360.000000000000     
           3          22   363.000000000000     
           3          23   363.000000000000     
           3          24   366.000000000000     
           3          25   366.000000000000     
           3          26   363.000000000000     
           3          27   363.000000000000     
           3          28   336.000000000000     
           3          29   342.000000000000     
           3          30   309.000000000000     
           3          31   300.000000000000     
           3          32   297.000000000000     
           3          33   327.000000000000     
           3          34   327.000000000000     
           3          35   246.000000000000     
           3          36   324.000000000000     
           3          37   324.000000000000     
           3          38   345.000000000000     
           3          39   345.000000000000     
           3          40   342.000000000000     
           3          41   342.000000000000     
           3          42   345.000000000000     
           3          43   345.000000000000     
           3          44   330.000000000000     
           3          45  0.000000000000000E+000
           3          46   345.000000000000     
           3          47   330.000000000000     
           3          48   345.000000000000     
           3          49   321.000000000000     
           3          50   324.000000000000     
           3          51   270.000000000000     
           3          52   324.000000000000     
           3          53   345.000000000000     
           3          54   297.000000000000     
           3          55   336.000000000000     
           3          56   345.000000000000     
           3          57   339.000000000000     
           3          58   300.000000000000     
           3          59   312.000000000000     
           3          60   336.000000000000     
           3          61   276.000000000000     
           3          62   342.000000000000     
           3          63   342.000000000000     
           3          64   291.000000000000     
           3          65   342.000000000000     
           3          66   255.000000000000     
           3          67   336.000000000000     
           3          68   342.000000000000     
           3          69   336.000000000000     
           3          70   330.000000000000     
           3          71   327.000000000000     
           3          72   327.000000000000     
           3          73   306.000000000000     
           3          74   333.000000000000     
           3          75   294.000000000000     
           3          76   288.000000000000     
           3          77   225.000000000000     
           3          78   291.000000000000     
           3          79   267.000000000000     
           3          80   228.000000000000     
           3          81   228.000000000000     
           3          82   303.000000000000     
           3          83   306.000000000000     
           3          84   303.000000000000     
           3          85   279.000000000000     
           3          86   291.000000000000     
           3          87   291.000000000000     
           3          88   198.000000000000     
           3          89   285.000000000000     
           3          90   282.000000000000     
           3          91   279.000000000000     
           3          92   273.000000000000     
           3          93   270.000000000000     
           3          94   255.000000000000     
           3          95   261.000000000000     
           3          96   264.000000000000     
           3          97   258.000000000000     
           3          98   252.000000000000     
           3          99   249.000000000000     
           3         100   246.000000000000     
           3         101   186.000000000000     
           4           1   534.000000000000     
           4           2   534.000000000000     
           4           3   546.000000000000     
           4           4   546.000000000000     
           4           5   531.000000000000     
           4           6   540.000000000000     
           4           7   534.000000000000     
           4           8   561.000000000000     
           4           9   564.000000000000     
           4          10   567.000000000000     
           4          11   567.000000000000     
           4          12   558.000000000000     
           4          13   573.000000000000     
           4          14   567.000000000000     
           4          15   543.000000000000     
           4          16   522.000000000000     
           4          17   576.000000000000     
           4          18   522.000000000000     
           4          19   588.000000000000     
           4          20   573.000000000000     
           4          21   507.000000000000     
           4          22   591.000000000000     
           4          23   591.000000000000     
           4          24   588.000000000000     
           4          25   561.000000000000     
           4          26   588.000000000000     
           4          27   573.000000000000     
           4          28   579.000000000000     
           4          29   585.000000000000     
           4          30   573.000000000000     
           4          31   573.000000000000     
           4          32   555.000000000000     
           4          33   588.000000000000     
           4          34   585.000000000000     
           4          35   585.000000000000     
           4          36   576.000000000000     
           4          37   585.000000000000     
           4          38   579.000000000000     
           4          39   582.000000000000     
           4          40   588.000000000000     
           4          41   582.000000000000     
           4          42   591.000000000000     
           4          43   591.000000000000     
           4          44   591.000000000000     
           4          45  0.000000000000000E+000
           4          46   576.000000000000     
           4          47   588.000000000000     
           4          48   588.000000000000     
           4          49   585.000000000000     
           4          50   588.000000000000     
           4          51   588.000000000000     
           4          52   585.000000000000     
           4          53   585.000000000000     
           4          54   591.000000000000     
           4          55   579.000000000000     
           4          56   561.000000000000     
