!------------------------------------------------------------!
  Date: 20191111
  Simulation name: BVZ4 
  Filename:average_medium.txt                                                                                                                                    
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                                              
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1      800.000000000000       10.000000000000        0.000000000000        0.000000000000       10.000000000000    39000.000000000000
  2      789.789670302303       18.757323814375       -2.167723505032        5.573926403401       18.759157042695      278.276526785893
  3      791.505222612298       19.449169729223       -4.544014969542        9.375120764758       19.444161798348      352.664516406514
  4      790.792831071817       14.635287607050        2.009729142429        2.576056128165       14.640268543798      193.880008235794
  5      790.561404046813       11.788863842398       -1.989538006188       -3.508705208614       11.788165052105       95.032964373083
  6      791.171736050564       11.829398775188       -4.222827241812       -6.992173201707       11.821490074580      127.156184535369
  7      792.231380057941       13.328700163934       -2.214929616695       -5.918311927438       13.321423388206      106.923913627352
  8      792.692180499149       14.704304561148       -2.230646325073       -1.652128235841       14.698284412204       88.554766852821
