!------------------------------------------------------------!
  Date: 20191122
  Simulation name: SW4  
  Filename:average_medium.txt                                                                                                                                    
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 5                                                                                                                
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1        800.0000000000         10.0000000000          0.0000000000          0.0000000000         10.0000000000      39000.0000000000
  2        542.9198936934         16.8279668210          0.0756507528          0.0339972826         17.1112203892       7261.6472441299
  3        519.8350342677         19.0014985351         -2.8454049621          0.0078252412         19.0875518935      11506.7502207552
  4        492.5567542819         22.0424501580         -2.7346430504         -0.0336556019         22.1027282276      13371.1011254128
  5        466.7569762143         20.1303570419         -2.3863956074         -0.1770832037         20.1777795806      15151.7838972145
  6        442.0352659558         18.4958264976         -2.2703433640         -0.0920876412         18.5419237296      18132.9491905334
  7        422.9330006921         17.4621577074         -2.1423934097         -0.1336805895         17.4953438950      21587.1239361047
  8        405.6575859753         11.7128236881          3.4828077190         -0.1223257150         11.7357556751      24249.3649989929
