!------------------------------------------------------------!
  Date: 20191011
  Simulation name: CWZ4 
  Filename:average_medium.txt                                                                                                                                    
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                                              
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1      800.000000000000       10.000000000000        0.000000000000        0.000000000000       10.000000000000    39000.000000000000
  2      788.760243937344       21.310939435211       -2.337266641541        5.200562072818       21.326374613188      375.068437662996
  3      791.122488454666       25.263978315623       -5.495258389429        9.054876999113       25.261442524587      423.654527291414
  4      792.153891866281       24.162426113610       -5.233996769768       11.830783957155       24.161072734500      416.398558036272
  5      791.323070059715       15.391996866719        3.733743215444        1.959574278937       15.394432586602      196.350342495440
  6      791.221605754324       13.295485610854       -2.263956617549       -4.620388012628       13.297142201553      114.726072444582
  7      790.884759515303       12.737909785338       -5.667973838746      -10.274043747495       12.730428728729      184.291729588651
  8      791.854086430031       14.686783426791       -3.135781815147      -11.548052152696       14.677596557441      155.123666823426
