!------------------------------------------------------------!
  Date: 20190918
  Simulation name: BV7 
  Filename:nose.txt                                                                                                                
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                       
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                
  Data format: t  Q  Nose of Current X Loc                                                                                            
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5   9.00000000000000     
           2           6   9.00000000000000     
           2           7   15.0000000000000     
           2           8   18.0000000000000     
           2           9   24.0000000000000     
           2          10   27.0000000000000     
           2          11   30.0000000000000     
           2          12   27.0000000000000     
           2          13   36.0000000000000     
           2          14   39.0000000000000     
           2          15   30.0000000000000     
           2          16   30.0000000000000     
           2          17   27.0000000000000     
           2          18   27.0000000000000     
           2          19   15.0000000000000     
           2          20   24.0000000000000     
           2          21   24.0000000000000     
           2          22   24.0000000000000     
           2          23   24.0000000000000     
           2          24   24.0000000000000     
           2          25   84.0000000000000     
           2          26   90.0000000000000     
           2          27   96.0000000000000     
           2          28   99.0000000000000     
           2          29   99.0000000000000     
           2          30   99.0000000000000     
           2          31   111.000000000000     
           2          32   111.000000000000     
           2          33   111.000000000000     
           2          34   99.0000000000000     
           2          35   99.0000000000000     
           2          36   99.0000000000000     
           2          37   132.000000000000     
           2          38   132.000000000000     
           2          39   99.0000000000000     
           2          40   99.0000000000000     
           2          41   99.0000000000000     
           2          42   99.0000000000000     
           2          43   99.0000000000000     
           2          44   99.0000000000000     
           2          45  0.000000000000000E+000
           2          46   99.0000000000000     
           2          47   99.0000000000000     
           2          48   120.000000000000     
           2          49   99.0000000000000     
           2          50   99.0000000000000     
           2          51   120.000000000000     
           2          52   141.000000000000     
           2          53   135.000000000000     
           2          54   135.000000000000     
           2          55   105.000000000000     
           2          56   99.0000000000000     
           2          57   99.0000000000000     
           2          58   138.000000000000     
           2          59   138.000000000000     
           2          60   141.000000000000     
           2          61   138.000000000000     
           2          62   138.000000000000     
           2          63   99.0000000000000     
           2          64   141.000000000000     
           2          65   132.000000000000     
           2          66   96.0000000000000     
           2          67   138.000000000000     
           2          68   96.0000000000000     
           3           1  0.000000000000000E+000
           3           2  0.000000000000000E+000
           3           3  0.000000000000000E+000
           3           4  0.000000000000000E+000
           3           5   9.00000000000000     
           3           6   12.0000000000000     
           3           7   15.0000000000000     
           3           8   18.0000000000000     
           3           9   24.0000000000000     
           3          10   27.0000000000000     
           3          11   30.0000000000000     
           3          12   33.0000000000000     
           3          13   36.0000000000000     
           3          14   39.0000000000000     
           3          15   36.0000000000000     
           3          16   30.0000000000000     
           3          17   36.0000000000000     
           3          18   261.000000000000     
           3          19   267.000000000000     
           3          20   252.000000000000     
           3          21   276.000000000000     
           3          22   282.000000000000     
           3          23   282.000000000000     
           3          24   291.000000000000     
           3          25   294.000000000000     
           3          26   297.000000000000     
           3          27   300.000000000000     
           3          28   309.000000000000     
           3          29   315.000000000000     
           3          30   318.000000000000     
