!------------------------------------------------------------!
  Date: 20191117
  Simulation name: BWZ7 
  Filename:average_all.txt                                                                                                                                       
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description: Average of all timesteps                                                                                                                             
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1        800.0000000000         10.0000000000          0.0000000000          0.0000000000         10.0000000000      39000.0000000000
  2        558.7590490124         13.1434728866         13.1434728866         -0.0583216489         13.4510315652       2578.1451824992
  3        535.2971970076         17.1645305348         17.1645305348         -0.8534407336         17.2940876051       2561.6613688139
  4        499.1214198025         12.1519943978         12.1519943978          1.6904940572         12.2033190494       1254.5772490033
  5        491.0598756432          8.4685280863          8.4685280863         -0.6562112459          8.5092080247        889.6324984056
  6        480.0856006744          6.0635032072          6.0635032072          0.1404648077          6.1067411999       1089.7084197365
  7        475.0861266568          7.0927031164          7.0927031164          0.4591085434          7.1173586374        837.5500934920
  8        470.8577350127          5.5986593390          5.5986593390          0.4980560447          5.6183363908        619.4537428818
