!------------------------------------------------------------!
  Date: 20190910
  Simulation name: CW4 
  Filename:average_all.txt                                                                                                         
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                               
  Written by AK September 2019
  Description: Average of all timesteps                                                                                               
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                 
!------------------------------------------------------------!
  1        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000
  1                   NaN                   NaN                   NaN                   NaN                   NaN                   NaN
  2      571.359579809993       14.624958253649       14.624958253649       -0.114947866080       14.957836010292     1784.828064184668
  3      543.240513718945       17.199516233766       17.199516233766       -2.549003148087       17.292053161230     1721.543367276181
  4      513.750279349283       16.903520366512       16.903520366512       -1.764423273475       16.964483906886     1461.704648307329
  5      475.621245511383       10.750830121470       10.750830121470        1.531478767807       10.791355100453      874.857871339598
  6      455.290409199163        7.905871816210        7.905871816210        0.035923312209        7.941545134821      547.799138040761
  7      450.847711412071        8.181019063742        8.181019063742       -1.045497470977        8.207401556835      508.802649960026
  8      436.120103123873        6.920231404844        6.920231404844        0.485050207511        6.941299104189      448.154719653331
