!------------------------------------------------------------!
  Date: 20191120
  Simulation name: AWX7 
  Filename:average_dense.txt                                                                                                                                     
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                                              
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1        800.0000000000         10.0000000000          0.0000000000          0.0000000000         10.0000000000      39000.0000000000
  2        788.2338741762         28.4247548635         -3.6162207123          0.8313622114         28.5040072815        461.7279610515
  3        790.5110258931         34.1281532871         -6.3743219123         -0.8949876386         34.1369824453        592.4932713981
  4        790.5875851836         33.9453534667         -6.0862021709         -0.7865011368         33.9474642591        580.5341905254
  5        791.2623291328         31.0377384061         -5.8724464964         -1.3707329446         31.0366041931        400.7725525563
  6        791.7903911960         30.1180181677         -5.3939507889         -0.8703933119         30.1168226761        311.9984438650
  7        791.8386064242         31.2587896375         -5.8991744308         -0.9168670639         31.2576450286        244.4465273647
  8        790.5913171411         24.9927635843         -0.3057651130         -1.2638751853         25.0053951603        171.8070966552
