!------------------------------------------------------------!
  Date: 20190929
  Simulation name: EV4 
  Filename:average_medium.txt                                                                                                      
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                               
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                 
!------------------------------------------------------------!
  1      800.000000000000       10.000000000000        0.000000000000        0.000000000000       10.000000000000    39000.000000000000
  2      788.896114637822       22.781961572472       -3.289160225696        1.414612852262       22.789376363249      297.440549731233
  3      791.435925829381       25.882248237534       -4.765538783598        2.513460608067       25.881400198177      434.147754598481
  4      793.383036056620       27.157117325386       -5.604570209553        3.672835293409       27.154337057629      455.114488820220
  5      794.476550238542       27.889383053455       -5.749295251600        4.086571416485       27.885011325241      346.245516947317
  6      795.819582294130       29.571128049577       -5.743933971292        3.300130002268       29.566451369208      269.811988082050
  7      795.844585997804       29.975576671536       -5.637829911147        0.010977900552       29.971726620014      221.495968339240
  8      795.979371922044       29.213042613570       -5.758152150643       -3.884594204986       29.207931068420      194.024028467798
