!------------------------------------------------------------!
  Date: 20191111
  Simulation name: AVX4 
  Filename:average_medium.txt                                                                                                                                    
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                                              
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1      800.000000000000       10.000000000000        0.000000000000        0.000000000000       10.000000000000    39000.000000000000
  2      789.456889170825       23.871691833383       -3.198732114933        1.209485225452       23.876959291735      363.496545236346
  3      790.220965047146       26.031098633359       -4.864254959702       -0.860216886153       26.031689970572      430.033061591892
  4      791.459297427170       26.251540755945       -4.692977798272       -1.703183698010       26.250154716685      370.016440068017
  5      792.439182921323       24.656856197437       -4.690302663910       -1.264398930605       24.654518727991      281.063122250969
  6      792.606962935174       25.335689636401       -4.910500750472       -1.518763543204       25.332875658755      198.610050987363
  7      792.433200860097       25.902726334653       -4.841021463520        0.705922825679       25.899589879338      174.345587407517
  8      792.658945928190       26.477890549745       -5.161747654258        0.588884942533       26.474860325804      161.352464955189
