!------------------------------------------------------------!
  Date: 20190910
  Simulation name: CV4 
  Filename:average_medium.txt                                                                                                      
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                               
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                 
!------------------------------------------------------------!
  1        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000
  1                   NaN                   NaN                   NaN                   NaN                   NaN                   NaN
  2      789.876151799856       19.297871066466       -2.525409353734        4.307549493705       19.302551291230      270.929096300421
  3      791.866247873250       20.196224056837       -4.516307421233        8.672932516568       20.190645642733      281.353521451211
  4      792.163246206787       20.868748427044       -4.483735187220        9.857200418535       20.862783880008      213.156703971747
  5      793.515906364397       18.823081096028       -0.304574202111        2.647514587668       18.825048754672      100.689072650900
  6      792.243276648997       16.838786917532       -3.120206166539       -5.155154259802       16.838272467109       55.791339549061
  7      792.285462542428       16.233533677741       -4.785507510068       -8.652808954470       16.227238928915       66.784837140605
  8      792.847801222316       16.359579484379       -3.809766101150      -11.204038274745       16.351769437576       67.028719223844
