!------------------------------------------------------------!
  Date: 20191120
  Simulation name: CWX4 
  Filename:average_medium.txt                                                                                                                                    
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 5                                                                                                                
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1        800.0000000000         10.0000000000          0.0000000000          0.0000000000         10.0000000000      39000.0000000000
  2        529.2159210955         15.5646488520          0.6090295646          0.9925412731         15.7888297432       8534.0485850334
  3        515.6938567288         18.5790627293         -2.8401713108          1.9508325734         18.6882885433      11592.8882303709
  4        486.1419958387         19.6606116850         -1.0176021687         -1.1242041506         19.7030294161      12221.4990043508
  5        457.0912670923         14.9601463766         -0.4793084753         -2.5010134605         14.9922016883      12716.2542671198
  6        434.5791071312         11.3035790566         -0.7644771545         -2.6307335393         11.3361073194      13883.0277900439
  7        414.7269792006         10.6680216239         -0.4748565152         -1.5364973281         10.6900019836      14034.2205974309
  8        404.6022225160          7.7093443695          1.8139506867         -0.4139149515          7.7311519863      13393.2993966272
