!------------------------------------------------------------!
  Date: 20191113
  Simulation name: AVY4 
  Filename:slice_onel.txt                                                                                                                                        
  Produced in mod-subroutine:  column.mod/slice                                                                                                                                      
  Written by AK September 2019
  Description:Veritcal column at x300_z555                                                                                                                          
  Data format: t  YYY  EPP   U_G   DPU   T_G   Ri                                                                                                                   
!------------------------------------------------------------!
  1        222.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        225.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        228.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        231.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        234.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        237.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        240.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        243.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        246.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        249.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        252.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        255.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        258.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        261.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        264.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        267.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        270.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        273.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        276.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        279.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        282.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        285.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        288.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        291.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        294.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        297.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        300.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        303.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        306.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        309.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        312.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        315.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        318.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        321.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        324.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        327.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        330.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        333.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        336.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        339.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        342.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        345.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        348.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        351.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        354.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        357.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        360.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        363.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        366.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        369.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        372.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        375.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        378.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        381.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        384.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        387.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        390.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        393.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        396.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        399.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        402.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        405.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        408.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        411.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        414.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        417.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        420.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        423.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        426.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        429.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        432.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        435.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        438.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        441.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        444.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        447.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        450.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        453.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  1        456.0000000000         14.0003472608          0.0000000000          0.0000000000        273.0000000000          0.0000000000
  2        222.0000000000         14.0003472608         -0.5438028329          0.0000000000        272.9985432977          0.0000000000
  2        225.0000000000         14.0003472608         -0.4488204029          0.0000000000        272.9994861183          0.0000000000
  2        228.0000000000         14.0003472608         -0.4323474725          0.0000000000        272.9999205152          0.0000000000
  2        231.0000000000         14.0003472608         -0.4278868559          0.0000000000        272.9999942978          0.0000000000
  2        234.0000000000         14.0003472608         -0.4118390958          0.0000000000        272.9999997417          0.0000000000
  2        237.0000000000         14.0003472608         -0.3977526349          0.0000000000        272.9999999912          0.0000000000
  2        240.0000000000         14.0003472608         -0.3878261916          0.0000000000        272.9999999998          0.0000000000
  2        243.0000000000         14.0003472608         -0.3808074653          0.0000000000        273.0000000000          0.0000000000
  2        246.0000000000         14.0003472608         -0.3758315987          0.0000000000        273.0000000000          0.0000000000
  2        249.0000000000         14.0003472608         -0.3723413512          0.0000000000        273.0000000000          0.0000000000
  2        252.0000000000         14.0003472608         -0.3699643481          0.0000000000        273.0000000000          0.0000000000
  2        255.0000000000         14.0003472608         -0.3684452743          0.0000000000        273.0000000000          0.0000000000
  2        258.0000000000         14.0003472608         -0.3676224409          0.0000000000        273.0000000000          0.0000000000
  2        261.0000000000         14.0003472608         -0.3674107174          0.0000000000        273.0000000000          0.0000000000
  2        264.0000000000         14.0003472608         -0.3676716253          0.0000000000        273.0000000000          0.0000000000
  2        267.0000000000         14.0003472608         -0.3683682969          0.0000000000        273.0000000000          0.0000000000
  2        270.0000000000         14.0003472608         -0.3694380285          0.0000000000        273.0000000000          0.0000000000
  2        273.0000000000         14.0003472608         -0.3708444356          0.0000000000        273.0000000000          0.0000000000
  2        276.0000000000         14.0003472608         -0.3725477413          0.0000000000        273.0000000000          0.0000000000
  2        279.0000000000         14.0003472608         -0.3745138595          0.0000000000        273.0000000000          0.0000000000
  2        282.0000000000         14.0003472608         -0.3767155986          0.0000000000        273.0000000000          0.0000000000
  2        285.0000000000         14.0003472608         -0.3791286929          0.0000000000        273.0000000000          0.0000000000
  2        288.0000000000         14.0003472608         -0.3817215709          0.0000000000        273.0000000000          0.0000000000
  2        291.0000000000         14.0003472608         -0.3844657407          0.0000000000        273.0000000000          0.0000000000
  2        294.0000000000         14.0003472608         -0.3873399271          0.0000000000        273.0000000000          0.0000000000
  2        297.0000000000         14.0003472608         -0.3903231712          0.0000000000        273.0000000000          0.0000000000
  2        300.0000000000         14.0003472608         -0.3933925993          0.0000000000        273.0000000000          0.0000000000
  2        303.0000000000         14.0003472608         -0.3965065266          0.0000000000        273.0000000000          0.0000000000
  2        306.0000000000         14.0003472608         -0.3996587392          0.0000000000        273.0000000000          0.0000000000
  2        309.0000000000         14.0003472608         -0.4028613457          0.0000000000        273.0000000000          0.0000000000
  2        312.0000000000         14.0003472608         -0.4060878122          0.0000000000        273.0000000000          0.0000000000
  2        315.0000000000         14.0003472608         -0.4092908013          0.0000000000        273.0000000000          0.0000000000
  2        318.0000000000         14.0003472608         -0.4124598727          0.0000000000        273.0000000000          0.0000000000
  2        321.0000000000         14.0003472608         -0.4155772658          0.0000000000        273.0000000000          0.0000000000
  2        324.0000000000         14.0003472608         -0.4186226143          0.0000000000        273.0000000000          0.0000000000
  2        327.0000000000         14.0003472608         -0.4215879360          0.0000000000        273.0000000000          0.0000000000
  2        330.0000000000         14.0003472608         -0.4244631369          0.0000000000        273.0000000000          0.0000000000
  2        333.0000000000         14.0003472608         -0.4272528299          0.0000000000        273.0000000000          0.0000000000
  2        336.0000000000         14.0003472608         -0.4299395532          0.0000000000        273.0000000000          0.0000000000
  2        339.0000000000         14.0003472608         -0.4324566276          0.0000000000        273.0000000000          0.0000000000
  2        342.0000000000         14.0003472608         -0.4348517007          0.0000000000        273.0000000000          0.0000000000
  2        345.0000000000         14.0003472608         -0.4371181188          0.0000000000        273.0000000000          0.0000000000
  2        348.0000000000         14.0003472608         -0.4392326059          0.0000000000        273.0000000000          0.0000000000
  2        351.0000000000         14.0003472608         -0.4411909515          0.0000000000        273.0000000000          0.0000000000
  2        354.0000000000         14.0003472608         -0.4429874485          0.0000000000        273.0000000000          0.0000000000
  2        357.0000000000         14.0003472608         -0.4446058312          0.0000000000        273.0000000000          0.0000000000
  2        360.0000000000         14.0003472608         -0.4459919639          0.0000000000        273.0000000000          0.0000000000
  2        363.0000000000         14.0003472608         -0.4471922708          0.0000000000        273.0000000000          0.0000000000
  2        366.0000000000         14.0003472608         -0.4482847191          0.0000000000        273.0000000000          0.0000000000
  2        369.0000000000         14.0003472608         -0.4492031206          0.0000000000        273.0000000000          0.0000000000
  2        372.0000000000         14.0003472608         -0.4499372076          0.0000000000        273.0000000000          0.0000000000
  2        375.0000000000         14.0003472608         -0.4505036834          0.0000000000        273.0000000000          0.0000000000
