!------------------------------------------------------------!
  Date: 20190910
  Simulation name: AV7 
  Filename:average_all.txt                                                                                                         
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                               
  Written by AK September 2019
  Description: Average of all timesteps                                                                                               
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                 
!------------------------------------------------------------!
  1        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000
  1                   NaN                   NaN                   NaN                   NaN                   NaN                   NaN
  2      556.772562436341       14.456095570622       14.456095570622       -0.043649333448       14.756181372350     1837.846528607379
  3      519.200949546927       13.967329170101       13.967329170101       -0.964825615640       14.060813299147     1263.179551516560
  4      493.812571613096       12.649098948431       12.649098948431       -0.830704703150       12.701737254966      967.594996038977
  5      472.186584591770        8.794053006972        8.794053006972        0.038680573025        8.830417969610      690.827788444073
  6      459.085874883782        7.122583567624        7.122583567624        0.277980306932        7.161901941841      562.781454386298
  7      447.233271052568        7.033671030713        7.033671030713        0.238076866516        7.059617775563      488.343727512945
  8      434.260680871385        6.156293388350        6.156293388350        0.680261393842        6.177208490354      403.987885631395
