!------------------------------------------------------------!
  Date: 20191115
  Simulation name: AWX4 
  Filename:average_medium.txt                                                                                                                                    
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 5                                                                                                                
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1        800.0000000000         10.0000000000          0.0000000000          0.0000000000         10.0000000000      39000.0000000000
  2        530.0253641243         16.4716722844          0.5899460763          0.2858793588         16.6689818971       8988.2822715850
  3        506.1578049974         17.7984224639         -2.3996703061         -0.4101002650         17.8915836928      11809.2573868206
  4        482.3543409231         18.3710903546         -1.1495259607          0.0082286346         18.4108398603      12256.9181459081
  5        462.8212893644         14.8468894795         -0.6079318111         -0.1362326680         14.8790400342      12785.8863824559
  6        439.0074879353         11.2299736660          0.0385178184         -0.0590481291         11.2661716852      13694.2036267230
  7        420.1165871423         10.3802475403          0.0166551534          0.0989616046         10.4022194143      14069.9004095596
  8        407.4996915787          7.2350669616          2.4635579753          0.0638974581          7.2527417607      14656.7279081071
