!------------------------------------------------------------!
  Date: 20191113
  Simulation name: BVY7 
  Filename:nose.txt                                                                                                                                              
  Produced in mod-subroutine:  =findhead/isosurf                                                                                                                                     
  Written by AK September 2019
  Description:Calculate head height, width, and average U_G, T_G, EP_G                                                                                              
  Data format: t  Q  Nose of Current X Loc                                                                                                                          
!------------------------------------------------------------!
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5  0.000000000000000E+000
           2           6   12.0000000000000     
           2           7   15.0000000000000     
           2           8   18.0000000000000     
           2           9   24.0000000000000     
           2          10   27.0000000000000     
           2          11   27.0000000000000     
           2          12   33.0000000000000     
           2          13   33.0000000000000     
           2          14   33.0000000000000     
           2          15   33.0000000000000     
           2          16   39.0000000000000     
           2          17   51.0000000000000     
           2          18   45.0000000000000     
           2          19   45.0000000000000     
           2          20   45.0000000000000     
           2          21   63.0000000000000     
           2          22   66.0000000000000     
           2          23   45.0000000000000     
           2          24   69.0000000000000     
           2          25   66.0000000000000     
           2          26   72.0000000000000     
           2          27   90.0000000000000     
           2          28   84.0000000000000     
           2          29   105.000000000000     
           2          30   117.000000000000     
           2          31   132.000000000000     
           2          32   126.000000000000     
           2          33   138.000000000000     
           2          34   144.000000000000     
           2          35   147.000000000000     
           2          36   150.000000000000     
           2          37   150.000000000000     
           2          38   150.000000000000     
           2          39   150.000000000000     
           2          40   147.000000000000     
           2          41   126.000000000000     
           2          42   135.000000000000     
           2          43   99.0000000000000     
           2          44   132.000000000000     
           2          45  0.000000000000000E+000
           2          46   111.000000000000     
           2          47   123.000000000000     
           2          48   99.0000000000000     
           2          49   99.0000000000000     
           2          50   99.0000000000000     
           2          51   99.0000000000000     
           2          52   99.0000000000000     
           2          53   138.000000000000     
           2          54   117.000000000000     
           2          55   105.000000000000     
           2          56   99.0000000000000     
           2          57   99.0000000000000     
           2          58   99.0000000000000     
           2          59   99.0000000000000     
           2          60   111.000000000000     
           2          61   117.000000000000     
           2          62   138.000000000000     
           2          63   138.000000000000     
           2          64   99.0000000000000     
           2          65   120.000000000000     
           2          66   132.000000000000     
           2          67   138.000000000000     
           2          68   96.0000000000000     
           3           1  0.000000000000000E+000
           3           2  0.000000000000000E+000
           3           3  0.000000000000000E+000
           3           4  0.000000000000000E+000
           3           5  0.000000000000000E+000
           3           6   12.0000000000000     
           3           7   15.0000000000000     
           3           8   18.0000000000000     
           3           9   24.0000000000000     
           3          10   27.0000000000000     
           3          11   30.0000000000000     
           3          12   33.0000000000000     
           3          13   36.0000000000000     
           3          14   39.0000000000000     
           3          15   42.0000000000000     
           3          16   48.0000000000000     
           3          17   51.0000000000000     
           3          18   51.0000000000000     
           3          19   51.0000000000000     
           3          20   63.0000000000000     
           3          21   63.0000000000000     
           3          22   264.000000000000     
           3          23   267.000000000000     
           3          24   270.000000000000     
           3          25   279.000000000000     
           3          26   285.000000000000     
           3          27   285.000000000000     
           3          28   237.000000000000     
           3          29   300.000000000000     
