!------------------------------------------------------------!
  Date: 20191111
  Simulation name: BWX4 
  Filename:average_medium.txt                                                                                                                                    
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                                              
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1      800.000000000000       10.000000000000        0.000000000000        0.000000000000       10.000000000000    39000.000000000000
  2      788.492044784553       25.671020392754       -3.968822569929        1.682639402033       25.694486849059      442.870932220332
  3      791.079271669317       32.103764725167       -5.651258458423        1.587486012308       32.106063047314      500.745459493104
  4      791.656877388707       31.734261221206       -5.953813134681       -1.008210474168       31.733474106212      528.242474466026
  5      792.400340638198       30.041945770582       -6.159050624879       -2.657216603478       30.038833780049      440.697011360888
  6      793.028675578568       29.905983694151       -5.670332269108       -2.859056701546       29.905974373174      316.622677561811
  7      793.624905798902       29.236780965028       -5.383134425846       -2.129403806816       29.235285565775      213.783746310760
  8      793.543170719445       29.760061598671       -5.079494237697       -3.314794847967       29.761540427888      181.963787455505
