!------------------------------------------------------------!
  Date: 20190910
  Simulation name: CV7 
  Filename:average_all.txt                                                                                                         
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                               
  Written by AK September 2019
  Description: Average of all timesteps                                                                                               
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                 
!------------------------------------------------------------!
  1        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000        0.000000000000
  1                   NaN                   NaN                   NaN                   NaN                   NaN                   NaN
  2      547.751591151504       12.596950401404       12.596950401404        0.803923693047       12.879531822151     1482.752834884815
  3      521.195616946176       13.435684414511       13.435684414511       -2.101815174284       13.529957689377     1099.956478503515
  4      497.610209568928       12.373115506071       12.373115506071        0.827638799833       12.427739581727      898.083707569903
  5      470.343818029775        8.066083052771        8.066083052771        1.087960793261        8.106051204071      468.426240732355
  6      461.590685650466        6.576881582565        6.576881582565       -0.258079638211        6.615409771198      346.813605048656
  7      445.811771557963        6.985180077382        6.985180077382       -0.706817765826        7.017537338051      372.792913425919
  8      432.619568948373        6.629936304653        6.629936304653        0.155869060655        6.656496943738      362.382505384568
