!------------------------------------------------------------!
  Date: 20191113
  Simulation name: CWY7 
  Filename:average_dense.txt                                                                                                                                     
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                                              
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1        800.0000000000         10.0000000000          0.0000000000          0.0000000000         10.0000000000      39000.0000000000
  2        788.0132519666         29.2651674541         -2.8843500337          1.2287956532         29.2608715988        442.5050030192
  3        791.0444462202         35.3788798207         -6.0729648134          2.4377260984         35.3884478625        666.0137974101
  4        791.0428880946         36.3171922014         -7.1593940209          4.1818361925         36.3172248798        732.7592075456
  5        792.2518637515         33.8954736060         -6.6280584818          4.7694014002         33.8943424618        486.0590872680
  6        794.1341000141         36.2249252297         -6.9923692638          4.5400489517         36.2231731231        321.1396168402
  7        794.5155618887         38.5866716410         -6.7938236036          1.9549115345         38.5877618238        241.6171549318
  8        793.7220537870         29.5565386167          0.0398092593         -3.2521343855         29.5783381432        189.3792513438
