!------------------------------------------------------------!
  Date: 20191117
  Simulation name: CWY4 
  Filename:average_dense.txt                                                                                                                                     
  Produced in mod-subroutine:  averageit.mod/average_all                                                                                                                             
  Written by AK September 2019
  Description:Average of densities between 2.5 and 1.5                                                                                                              
  Data format: t   T_G   U_G   V_G   W_G   U_S1   DPU                                                                                                               
!------------------------------------------------------------!
  1        800.0000000000         10.0000000000          0.0000000000          0.0000000000         10.0000000000      39000.0000000000
  2        786.2457052117         22.8251278640         -2.4975531150          3.1541437303         22.8394481483        434.6502807294
  3        791.7206447231         26.8036018136         -5.2912179119          6.3837948052         26.8004854144        440.8069062595
  4        791.7005759859         27.5103752193         -5.6356834267          7.2298534572         27.5082581851        445.0391576714
  5        792.1968945547         20.9655691419          0.4415873521         -0.4373048791         20.9683158825        239.9980389990
  6        792.0281433917         19.2271203162         -3.2764613909         -6.5407337273         19.2279381280        153.8775156526
  7        791.5784006859         18.9874494135         -6.2890657362        -12.1476054987         18.9813975008        190.2944735174
  8        792.4445051926         18.1268813563         -2.7020942357        -11.8713715642         18.1228820659        165.0911304506
